Name,FieldName
博丽灵梦,NPCRoles.REIMU
青灵梦,NPCRoles.CYAN_REIMU
雾雨魔理沙,NPCRoles.MARISA
露米娅,NPCRoles.RUMIA
琪露诺,NPCRoles.CIRNO
红美铃,NPCRoles.MEIRIN
帕秋莉·诺蕾姬,NPCRoles.PATCHOULI
十六夜咲夜,NPCRoles.SAKUYA
蕾米莉亚·斯卡蕾特,NPCRoles.REMILIA
芙兰朵露·斯卡蕾特,NPCRoles.FLANDRE
蕾蒂·霍瓦特洛克,NPCRoles.LETTY_WHITEROCK
八云橙,NPCRoles.CHEN
爱丽丝·玛格特罗依德,NPCRoles.ALICE
莉莉白,NPCRoles.LILY_WHITE
露娜萨·普莉兹姆利巴,NPCRoles.LUNASA_PRISMRIVER
梅露兰·普莉兹姆利巴,NPCRoles.MERLIN_PRISMRIVER
莉莉卡·普莉兹姆利巴,NPCRoles.LYRICA_PRISMRIVER
八云蓝,NPCRoles.RAN
魂魄妖梦,NPCRoles.YOUMU
西行寺幽幽子,NPCRoles.YUYUKO
八云紫,NPCRoles.YUKARI
米斯蒂娅·萝蕾拉,NPCRoles.MYSTIA_LORELEI
莉格露·奈特巴格,NPCRoles.WRIGGLE_NIGHTBUG
上白泽慧音,NPCRoles.KAMISHIRASAWA_KEINE
铃仙·优昙华院·因幡,NPCRoles.REISEN
八意永琳,NPCRoles.ERIN
蓬莱山辉夜,NPCRoles.HOURAISAN_KAGUYA
藤原妹红,NPCRoles.HUZIWARA_NO_MOKOU
四季映姬·夜摩仙那度,NPCRoles.SHIKIEIKI_YAMAXANADU
风见幽香,NPCRoles.KAZAMI_YUKA
键山雏,NPCRoles.KAGIYAMA_HINA
犬走椛,NPCRoles.INUBASHIRI_MOMIZI
河城荷取,NPCRoles.KAWASIRO_NITORI
射命丸文,NPCRoles.AYA
东风谷早苗,NPCRoles.KOCHIYA_SANAE
八坂神奈子,NPCRoles.YASAKA_KANAKO
洩矢诹访子,NPCRoles.MORIYA_SUWAKO
琪斯美,NPCRoles.KISUME
黑谷山女,NPCRoles.KURODANI_YAMAME
水桥帕露西,NPCRoles.MIZUHASHI_PARSEE
星熊勇仪,NPCRoles.HOSHIGUMA_YUGI
火焰猫燐,NPCRoles.KAENBYOU_RIN
古明地觉,NPCRoles.KOMEIJI_SATORI
灵乌路空,NPCRoles.REIUJI_UTSUH
古明地恋,NPCRoles.KOMEIJI_KOISHI
白色古明地恋,NPCRoles.WHITE_KOMEIJI_KOISHI
纳兹琳,NPCRoles.NAZRIN
多多良小伞,NPCRoles.TATARA_KOGASA
幽谷响子,NPCRoles.KASODANI_KYOUKO
宫古芳香,NPCRoles.MIYAKO_YOSHIKA
霍青娥,NPCRoles.KAKU_SEIGA
苏我屠自古,NPCRoles.SOGA_NO_TOZIKO
