Name,FieldName
未定义,FoodProperties.UNDEFINED
肉类,FoodProperties.MEAT
水产,FoodProperties.AQUATIC_PRODUCTS
素食,FoodProperties.VEGETARIAN
家常,FoodProperties.HOMESTYLE
高级,FoodProperties.GOURMET
传说,FoodProperties.LEGENDARY
重油,FoodProperties.GREASY
清淡,FoodProperties.LIGHT
下酒,FoodProperties.GOOD_WITH_ALCOHOL
饱腹,FoodProperties.FILLING
山珍,FoodProperties.MOUNTAIN_DELICACY
海味,FoodProperties.OCEAN_FLAVOR
和风,FoodProperties.JAPANESE_STYLE
西式,FoodProperties.WESTERN_STYLE
中式,FoodProperties.CHINESE_STYLE
咸,FoodProperties.SALTY
鲜,FoodProperties.UMAMI
甜,FoodProperties.SWEET
生,FoodProperties.RAW
适合拍照,FoodProperties.PHOTOGENIC
凉爽,FoodProperties.COOL
灼热,FoodProperties.FIERY
力量涌现,FoodProperties.POWER_SURGE
猎奇,FoodProperties.BIZARRE
文化底蕴,FoodProperties.CULTURAL_DEPTH
菌类,FoodProperties.MUSHROOMS
难以置信,FoodProperties.UNBELIEVABLE
小巧,FoodProperties.PETITE
梦幻,FoodProperties.DREAMLIKE
特产,FoodProperties.LOCAL_SPECIALTY
果味,FoodProperties.FRUITY
汤羹,FoodProperties.SOUP_AND_STEW
烧烤,FoodProperties.GRILLED
辣,FoodProperties.SPICY
燃起来了,FoodProperties.FLAMING
酸,FoodProperties.SOUR
有毒,FoodProperties.TOXIC
黑暗物质,FoodProperties.DARK_CUISINE
实惠,FoodProperties.ECONOMICAL
昂贵,FoodProperties.EXPENSIVE
大份,FoodProperties.LARGE_PARTITION
不流行,FoodProperties.POPULAR_NEGATIVE
流行的,FoodProperties.POPULAR_POSITIVE
招牌,FoodProperties.SIGNATURE
诅咒,FoodProperties.CURSE
