Name,FieldName
未定义,BeverageProperties.UNDEFINED
无酒精,BeverageProperties.ALCOHOL_FREE
低酒精,BeverageProperties.LOW_ALCOHOL
中酒精,BeverageProperties.MID_ALCOHOL
高酒精,BeverageProperties.HIGH_ALCOHOL
可加冰,BeverageProperties.CAN_ADD_ICE
可加热,BeverageProperties.CAN_HEATED
鸡尾酒,BeverageProperties.COCKTAIL
西洋酒,BeverageProperties.WESTERN_WINE
水果味,BeverageProperties.FRUIT
甘,BeverageProperties.SWEET
苦,BeverageProperties.BITTER
烧酒,BeverageProperties.SOJU
清酒,BeverageProperties.SAKE
辛,BeverageProperties.PUNGENT
气泡,BeverageProperties.BUBBLE
啤酒,BeverageProperties.BEER
直饮,BeverageProperties.DIRECT_DRINKING
利口酒,BeverageProperties.LIQUEUR
提神,BeverageProperties.REFRESHING
古典,BeverageProperties.CLASSICAL
现代,BeverageProperties.MODERN
