Name,FieldName
鸡蛋,Items.EGG
猪肉,Items.PORKCHOP
牛肉,Items.BEEF
南瓜,Items.PUMPKIN
土豆,Items.POTATO
海苔,Items.KELP
蘑菇,Items.BROWN_MUSHROOM
河豚,Items.PUFFERFISH
蜂蜜,Items.HONEY_BOTTLE
竹子,Items.BAMBOO
可可豆,Items.COCOA_BEANS
冰块,RDBlocks.MAGIC_ICE_BLOCK
竹笋,RDIngredientItems.BAMBOO_SHOOTS
黑盐,RDIngredientItems.BLACK_SALT
黑毛猪肉,RDIngredientItems.BLACK_PORK
西兰花,RDIngredientItems.BROCCOLI
鹿肉,RDIngredientItems.VENISON
黄油,RDIngredientItems.BUTTER
辣椒素,RDIngredientItems.CAPSAICIN
芝士,RDIngredientItems.CHEESE
板栗,RDIngredientItems.CHESTNUT
辣椒,RDIngredientItems.CHILI
螃蟹,RDIngredientItems.CRAB
奶油,RDIngredientItems.CREAM
黄瓜,RDIngredientItems.CUCUMBER
露水,RDIngredientItems.DEW
面粉,RDIngredientItems.FLOUR
鲜花,RDIngredientItems.FLOWERS
薜茘,RDIngredientItems.FICUS_MICROCARPA
白果,RDIngredientItems.GINKGO
葡萄,RDIngredientItems.GRAPE
八目鳗,RDIngredientItems.HAGFISH
柠檬,RDIngredientItems.LEMON
莲子,RDIngredientItems.LOTUS_NUTS
月光草,RDIngredientItems.MOONFLOWER
章鱼,RDIngredientItems.OCTOPUS
洋葱,RDIngredientItems.ONION
桃子,RDIngredientItems.PEACH
松子,RDIngredientItems.PINE_NUT
梅子,RDIngredientItems.PLUM
噗噗哟果,RDIngredientItems.PUFF_YO_FRUIT
红豆,RDIngredientItems.RED_BEANS
三文鱼,RDIngredientItems.SALMON
海胆,RDIngredientItems.SEA_URCHIN
虾,RDIngredientItems.SHRIMP
蝉蜕,RDIngredientItems.CICADA_SHELL
幻昙华,RDIngredientItems.UDUMBARA
糯米,RDIngredientItems.STICKY_RICE
极上金枪鱼,RDIngredientItems.SUPREME_TUNA
地瓜,RDIngredientItems.SWEET_POTATO
豆腐,RDIngredientItems.TOFU
西红柿,RDIngredientItems.TOMATO
香椿,RDIngredientItems.TOON
银耳,RDIngredientItems.TREMELLA
鳟鱼,RDIngredientItems.TROUT
松露,RDIngredientItems.TRUFFLE
金枪鱼,RDIngredientItems.TUNA
并蒂莲,RDIngredientItems.TWIN_LOTUS
和牛,RDIngredientItems.WAGYU_BEEF
萝卜,RDIngredientItems.WHITE_RADISH
野猪肉,RDIngredientItems.WILD_BOAR_MEAT
全肉盛宴,RDFoodItems.ALL_MEAT_FEAST
北极甜虾蜜桃色拉,RDFoodItems.ARCTIC_SWEET_SHRIMP_AND_PEACH_SALAD
什锦天妇罗,RDFoodItems.ASSORTED_TEMPURA
小小的甜蜜「毒药」,RDFoodItems.A_LITTLE_SWEET_POISON
奶油焗蟹,RDFoodItems.BAKED_CRAB_WITH_CREAM
烤地瓜,RDFoodItems.BAKED_SWEET_POTATOES
竹笋炒肉,RDFoodItems.BAMBOO_SHOOTS_FRIED_MEAT
石锅竹笋炖肉,RDFoodItems.BAMBOO_SHOOTS_STEWED_IN_STONE_POT
竹筒蒸蛋,RDFoodItems.BAMBOO_STEAMED_EGG
竹筒烧醉虾,RDFoodItems.BAMBOO_TUBE_ROASTED_DRUNKEN_SHRIMP
竹筒粉蒸肉,RDFoodItems.BAMBOO_TUBE_STEAMED_PORK
赛熊掌,RDFoodItems.BEAR_PAW
牛肉鸳鸯火锅,RDFoodItems.BEEF_HOT_POT
牛肉盖浇饭,RDFoodItems.BEEF_RICE
惠灵顿牛排,RDFoodItems.BEEF_WELLINGTON
兜甲蒸糕,RDFoodItems.BEETLE_STEAMED_CAKE
燃尽布丁,RDFoodItems.BURNT_PUDDING
比斯开湾饼干,RDFoodItems.BISCAY_BISCUITS
水煮鱼,RDFoodItems.BOILED_FISH
红烧鳗鱼,RDFoodItems.BRAISED_EEL
蜜桃红烧肉,RDFoodItems.BRAISED_PORK_WITH_PEACH
黄油牛排,RDFoodItems.BUTTER_STEAK
蜜饯栗子,RDFoodItems.CANDIED_CHESTNUTS
拔丝地瓜,RDFoodItems.CANDIED_SWEET_POTATO
猫咪戏水,RDFoodItems.CATS_PLAYING_IN_WATER
猫饭,RDFoodItems.CAT_FOOD
猫咪可露丽,RDFoodItems.CAT_KULULI
猫咪披萨,RDFoodItems.CAT_PIZZA
芝士蛋,RDFoodItems.CHEESE_EGG
凉菜雕花,RDFoodItems.COLD_DISH_CARVING
冷豆腐,RDFoodItems.COLD_TOFU
华光玉煎包,RDFoodItems.COLORFUL_JADE_FRIED_BUNS
煮豆腐,RDFoodItems.COOKING_TOFU
奶油炖菜,RDFoodItems.CREAM_STEW
脆旋风,RDFoodItems.CRISP_CYCLONE
黑暗物质,RDFoodItems.DARK_CUISINE
香炸蝉蜕,RDFoodItems.DEEP_FRIED_CICADA_SHELLS
丧气芝士条,RDFoodItems.DEPRESSED_CHEESE_STICKS
露水煮蛋,RDFoodItems.DEW_BOILED_EGGS
铜锣烧,RDFoodItems.DORAYAKI
水饺,RDFoodItems.DUMPLING
鳗鱼蛋盖饭,RDFoodItems.EEL_EGG_DONBURI
班尼迪克蛋,RDFoodItems.EGGS_BENEDICT
能量串,RDFoodItems.ENERGY_STRING
樱落雪,RDFoodItems.FAILING_SAKURA_SNOW
幻想风靡,RDFoodItems.FANTASY_IS_ALL_THE_RAGE
鱼跃龙门,RDFoodItems.FISH_LEAPS_OVER_DRAGON_GATE
花鸟风月,RDFoodItems.FLOWERS_BIRDS_WIND_AND_MOON
流水素面,RDFoodItems.FLOWING_WATER_NOODLES
炸八目鳗,RDFoodItems.FRIED_HAGFISH
炸猪肉排,RDFoodItems.FRIED_PORK_CUTLET
炒肉丝,RDFoodItems.FRIED_PORK_SHREDS
炸虾天妇罗,RDFoodItems.FRIED_SHRIMP_TEMPURA
油豆腐,RDFoodItems.FRIED_TOFU
