SpecialGuest,TagId,Request
0,17,如果点的菜带甜味就好了~
0,18,生肉总比熟肉好吃吧！你难道是牛排吃十分熟的那种人?
0,24,作为虫子奇奇怪怪的菜我来者不拒哦~
0,0,其实虫子也是吃肉的！
1,0,肉肉肉~要吃肉~
1,18,最新鲜的吃法就是生吃？
1,24,人类觉得奇怪的料理说不定正适合我呢~
1,9,吃不饱可不行哦~
1,19,你有没有什么拿手好菜呀？
2,0,我还在长身体，不吃肉可不行！
2,1,猫当然是要吃鱼啦~
2,6,一点油水都没有的东西能有啥味道
2,17,甜的我也喜欢~
2,33,那种把肉串起来烧一烧的料理！
3,7,清淡的饮食是长寿的秘诀……
3,12,稗田家的风格一直都以和风为主。
3,17,甜食吃太多不健康……咳，但是偶尔尝尝也是不错的吧
3,25,将文化蕴藏于菜肴中，这和我所做之事本质是一样的
3,4,作为稗田家主，时刻不可失了身份，所食之物也不能太失格
3,32,咳……身体不太好，有没有适合消化的汤汤水水呢？
4,14,不知道中华风的菜肴会承载着怎样的历史呢。
4,12,不知道和风的菜肴会承载着怎样的历史呢。
4,2,偶尔吃点素菜，感觉身体会很舒服。
4,7,最近吃得比较清淡……
4,3,随便吃些家常菜就可以了。
4,25,历史和文化是相辅相成的。
5,25,仙人所求的不只是味道，还有其背后的文化。
5,12,和食很适合仙人。
5,3,仙人也非高高在上的……家常菜也别有韵味。
5,8,光喝酒可不行，下酒菜也是必不可少的。
6,3,看起来普普通通的家常菜其实一点也不普通，不是和我很像吗？
6,9,男子汉可不能吃不饱啊——
6,16,我的嘴可是很刁的，鲜度如何我一尝就知道了！
7,17,糖在以前是奢侈品呢，现在随便就能吃到真是太好了~
7,9,吃不饱的话就太不划算了…
7,27,有什么配得上我的称号的菜吗？
7,4,有没有什么不花大价钱的高级料理啊……
8,0,大口吃肉大口喝酒才叫爽快！
8,12,说到鬼，就是和风了吧~
8,8,喝酒之余来点佐酒的小菜也不错~
8,23,鬼族的力量可都是很夸张的哦
8,28,我可以分散很多个小的自己，有什么合适的菜吗~
9,2,荤腥的东西离我远点！
9,7,只有你们这种下等人才喜欢口味重的东西！
9,17,不喜欢甜味的人是不存在的~
9,20,卖相不好的低贱品就别给本天人端过来了！
9,5,传说级别的菜品，这种小破店是不会有的吧？
9,31,新鲜的水果，这种小店弄得到吗？
10,26,蘑菇是怎么吃也吃不腻的！
10,5,越是古老的东西越有价值~
10,12,我是和食主义者！
10,6,高热量的油炸食品能让人更快乐~
10,22,料理就和魔法一样，发光发热才叫好！
11,5,一般来说，能够拯救世界的料理应该都是传说级别的吧？
11,12,那位大人，曾经也被说是和风美人呢……
12,0,我……要……吃……肉……
12,2,我……要……吃……素……
12,1,我……要……吃……海鲜……
15,14,就算身处异乡也不能忘了祖国的味道。
15,23,有没有像漫画一样吃了就能让人涌现出力量的东西呢？
15,0,肉是最实在的！
15,9,吃饱了才有力气干活啊。
16,29,呵呵，现实的存在永远如梦幻般难以触及哦~
16,5,所有因幡都喜欢在捣年糕的时候歌唱那个传说中的男人。
16,17,一说到兔子，不就是甜蜜蜜的感觉吗？啊，我说的不是味道哦。
16,21,兔毛虽然短却厚，不做好降温工作的话会食欲不振呢。
16,28,对兔子来说，三分饱就够了。
22,17,在过去，糖可是贵族的专属消费品呢。
22,13,从未离开过幻想乡的井底之蛙，能做出异国风味的料理吗？
22,18,吸血鬼……当然是要吃生的。
22,4,只有高级的料理才配得上我的身份。
24,22,飘荡在妖怪山上的无尽之烟，即便没有火焰，也如梦似幻般灼热。
24,35,涅槃重生的不死鸟啊，复仇之火永扑不尽、永浇不灭！
24,34,辣味能够让我感受到活着的刺激。
24,31,果子既能解渴又能饱腹，是上天恩赐的食物。
24,33,我其实也挺擅长烤肉的。
25,12,地上有个叫大和抚子的和风美人，我对她挺感兴趣的。
25,25,虽然地上的历史对我而言转瞬即逝，但也是不可磨灭的过去。
25,5,地上流传的大多传说，其实都是月人创造和散播的哦。
25,27,这片污秽却自由的土地，总让我感到不可思议。
27,13,饮食文化的差异，你这种鸟脑袋能够理解吗？
27,17,甜美是一种能沁入心田的滋味。
27,20,品相好看的料理，仅在书里出现也能让人垂涎。
27,29,能将人带入宛如真实的梦幻中的料理，真想见识一下。
27,4,若想使用高级的魔法，就需要拥有很高的熟练度。料理也是如此。
28,21,冰精当然要吃冰的啦！
28,17,甜甜美美的东西吃了会让心情变好~
28,20,丑拒！
28,24,真正的勇士，敢于尝试千奇百怪的东西！
29,29,呵呵，现实的存在永远如梦幻般难以触及哦~
29,5,所有因幡都喜欢在捣年糕的时候歌唱那个传说中的男人。
29,17,一说到兔子，不就是甜蜜蜜的感觉吗？啊，我说的不是味道哦。
29,21,兔毛虽然短却厚，不做好降温工作的话会食欲不振呢。
29,28,对兔子来说，三分饱就够了。
41,12,能乐是日本最古老的古典歌舞剧。
41,19,只要和大家点一样的就能理解大家的感情吗？
41,5,能乐的剧目库本身就是一部庞大的传说总集。
41,29,幻术的遗产仍残留在能乐的骨血里，脱骨为幽玄。
41,21,凉风与摇曳的篝火，是能乐幽玄美学的绝配。
41,20,我的舞姿也能深深地拓印在大家的心里吗？
1000,24,人类绝对无法理解我们河童的口味……说不定有少部分人可以。
1000,1,河童是妖怪中的驭水高手，食物也几乎都从水里获得。
1000,4,招待我们河童，直接把最上品的菜端出来就好。
1000,8,只有酒没有菜，囫囵地喝也没什么意思——
1000,15,得多吃点咸的才能补充体力啊。
1000,19,只有口碑最好的菜才能成为招牌菜。
1001,0,就算变成妖怪，狼爱吃肉的本性也不会改变。
1001,10,俗话说，靠山吃山，靠海吃海。
1001,6,清淡的食物实在是吃不下啊，不健康的饮食对我来说刚刚好。
1001,8,酒才是席上的主角啊，菜肴什么的要是不能给酒增色，那还不如不吃。
1002,3,就算知道魔法修行是孤独的，偶尔也还是会怀念家的味道。
1002,4,我真是受不了那些低级趣味。
1002,13,魔法使当然是西式的。
1002,17,我偶尔会梦到自己在巧克力和糖果做的房子睡觉。
1002,25,食之道与魔法之道有着一样悠久的底蕴。
1003,9,我的无限的胃袋已经快饿扁了！
1003,0,猛兽在撕咬肉的同时，也是在展示自己的獠牙。
1003,4,好不容易才到地上来一趟，把最高级的料理端上来！
1003,5,地上的传说甚是有趣，就让我来尝一尝……
1003,18,畜生对血淋淋的食物的迷恋，人类是不会明白的。
1003,16,那些馊掉的东西就别拿出来丢人现眼了。
1003,23,我能将吞下的一切事物转化为自己的力量！
1003,27,我居然会遵守地上的规则坐在这里……光是这样就够不可思议了！
1004,7,好歹也算是地藏，偶尔吃点清淡的吧。
1004,10,山里的走地兽可不在我的救助范围。
1004,25,饮食文化的底蕴也未必比地藏的经书浅显呢。
1004,30,我想尝尽不同地方的美食，但实在懒得走。
1004,12,在我还是石像的时候，和风是这片土地的唯一。
1005,12,说到日本的传统，当然是大和风情啦！
1005,17,如果你从来没有尝过糖果的美味，就不会惦记它的味道~
1005,20,手机在幻想乡也不是完全无法使用哦~
1005,3,那两位大人在的地方，就是我的家。
1005,29,女孩子是最不能抵抗梦幻般的东西了。
2000,17,生活充满甜蜜和喜悦。
2000,16,无论什么食物当然都是新鲜的最好啦！
2000,24,一般人会觉得蜘蛛的口味很奇怪吗？
2000,20,把好看的食物拍下来，回去和蜘蛛们分享吧~
2000,18,煮得太熟的食物总是吃不太习惯。
2001,2000,妒意的味道是酸的。
2001,15,眼泪的味道是咸的。
2001,34,愤怒的味道是辣的。
2001,16,我不能忍受其他客人的食物比我的新鲜！
2001,31,水果能让惆怅的情绪变的舒缓。
2001,0,不给我吃肉的话就诅咒你。
